id,text,target,vader_compound,n_pos,n_neg,categoria
10028,"Check out 'Want Twister Tickets AND A VIP EXPERIENCE To See SHANIA? CLICK HERE:' at  http://t.co/3GEROQ49o1
I would Love Love Love!! To win",0,0.973,4,0,No desastre
9345,@thoutaylorbrown I feel like accidents are just drawn to you but I'm happy you've survived all of them. Hope you're okay!!!,0,0.9564,1,0,No desastre
8989,TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.,1,0.9471,3,0,Desastre real
4541,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0,0.9423,5,1,No desastre
4844,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0,0.9423,5,1,No desastre
9710,Maaaaan I love Love Without Tragedy by @rihanna I wish she made the whole song,0,0.9394,2,1,No desastre
8994,Free Ebay Sniping RT? http://t.co/B231Ul1O1K Lumbar Extender Back Stretcher Excellent Condition!! ?Please Favorite &amp; Share,0,0.9376,3,0,No desastre
3525,@Raishimi33 :) well I think that sounds like a fine plan where little derailment is possible so I applaud you :),1,0.9356,3,0,Desastre real
1453,I'm not a Drake fan but I enjoy seeing him body-bagging people. Great marketing lol.,0,0.9345,2,0,No desastre
9386,@duchovbutt @Starbuck_Scully @MadMakNY @davidduchovny yeah we survived 9 seasons and 2 movies. Let's hope for the good. There's hope ??????,0,0.9344,1,0,No desastre
